Room,Type,Event,ActivityID,Attemps,Baseline,NewID,NewBaseline
Bedroom,IoDW,AllClose,BRD9A1,"BRD1A1, BRD9A1",BRD10A1,,
Bedroom,IoDW,AllOpen,BRD4A2,BRD4A2,BRD10A2,,
Bedroom,IoDW,MainDoor50,BRD9A2,"BRD1A2, BRD9A2, BRD10A1",BRD10A2,,
Bedroom,IoDW,MainDoor100,BRD8A2,"BRD2A1, BRD5A2, BRD8A2, BRD11A1",BRD10A2,BRD11A1,
Bedroom,IoDW,Window50,BRD8A1,"BRD2A2, BRD5A1, BRD8A1, BRD13A2",BRD10A1,BRD13A2,
Bedroom,IoDW,Window100,BRD3A1,"BRD3A1, BRD13A1",BRD10A1,BRD13A1,
Bedroom,IoDW,SecondaryDoor50,BRD3A2,"BRD3A2, BRD10A2",BRD10A2,,
Bedroom,IoDW,SecondaryDoor100,BRD4A1,"BRD4A1, BRD11A2",BRD10A1,BRD11A2,
Bedroom,IoTset,T18,BRD1A6,"BRD6A1, BRD1A6, BRD12A7",BRD10A6,BRD12A7,
Bedroom,IoTset,T20,BRD8A6,"BRD2A6, BRD6A2, BRD8A6, BRD13A7",BRD10A6,BRD13A7,
Bedroom,IoTset,T22,BRD9A6,"BRD3A6, BRD6A3, BRD9A6",BRD10A6,,
Bedroom,IoTset,T24,BRD1A7,"BRD1A7, BRD6A4, BRD12A8",BRD10A7,BRD12A8,
Bedroom,IoTset,T25,BRD4A6,"BRD4A6, BRD6A5, BRD7A1, BRD7A3",BRD10A6,,
Bedroom,IoTset,T27,BRD9A7,"BRD2A7, BRD9A7, BRD13A8",BRD10A7,BRD13A8,
Bedroom,IoTset,T28,BRD3A7,BRD3A7,BRD10A7,,
Bedroom,IoTset,T30,BRD4A7,"BRD4A7, BRD5A4, BRD5A5, BRD5A6",BRD10A7,,
Bedroom,IoDev,FanOn,BRD8A3,"BRD1A3, BRD5A3, BRD7A2, BRD8A3, BRD13A3",BRD10A3,BRD13A3,
Bedroom,IoDev,LightsOn,BRD3A3,"BRD3A3, BRD11A4",BRD10A3,BRD11A4,
Bedroom,IoDev,CurtainsOn,BRD2A3,"BRD2A3, BRD11A3",BRD10A3,BRD11A3,
Bedroom,IoDev,WetCloths,BRD4A3,BRD4A3,BRD10A3,,
Bedroom,IoDev,FanSwingOn,BRD9A3,"BRD9A3, BRD13A4",BRD10A3,BRD13A4,
Bedroom,IoDev,FanLightCurtainSwingOn,,,BRD10A3,,
Bedroom,IoOcc,OccSit,BRD9A4,"BRD3A4, BRD9A4, BRD13A5",BRD10A4,BRD13A6,
Bedroom,IoOcc,OccMove,BRD4A4,"BRD4A4, BRD13A6",BRD10A4,,
Bedroom,IoOcc,OccWork,BRD9A5,"BRD1A5, BRD9A5",BRD10A5,BRD13A5,
Bedroom,IoOcc,OccExercise,BRD4A5,"BRD4A5, BRD11A6",BRD10A5,BRD11A6,
Bedroom,IoOcc,OccSleep,BRD1A4,"BRD1A4, BRD11A5",BRD10A4,BRD11A5,
Bedroom,IoOcc,MultipleOccSit,BRD3A5,BRD3A5,BRD10A5,,
Bedroom,IoOcc,MultipleOccWork,BRD8A5,"BRD2A5, BRD8A5",BRD10A5,,
Bedroom,IoOcc,MultipleOccMove,BRD8A4,"BRD2A4, BRD8A4",BRD10A4,,
Livingroom,IoDW,AllClose,LRD5A1,"LRD1A1, LRD5A5, LRD8A1",LRD9A1,,
Livingroom,IoDW,AllOpen,LRD4A2,LRD4A2,LRD9A2,,
Livingroom,IoDW,MainDoor50,LRD8A2,"LRD1A2, LRD5A2, LRD8A2, LRD10A2",LRD9A2,,
Livingroom,IoDW,MainDoor100,LRD2A1,"LRD2A1, LRD11A2",LRD9A1,LRD11A2,
Livingroom,IoDW,Window50,LRD2A2,"LRD2A2, LRD13A1",LRD9A2,LRD13A1,
Livingroom,IoDW,Window100,LRD3A1,"LRD3A1, LRD13A2",LRD9A1,LRD13A2,
Livingroom,IoDW,SecondaryDoor50,LRD3A2,"LRD3A2, LRD10A1",LRD9A2,,
Livingroom,IoDW,SecondaryDoor100,LRD4A1,"LRD4A1, LRD11A1",LRD9A1,LRD11A1,
Livingroom,IoTset,T18,LRD1A4,"LRD1A4, LRD6A1, LRD11A5",LRD9A4,LRD11A5,
Livingroom,IoTset,T20,LRD2A4,"LRD2A4, LRD6A2, LRD13A5",LRD9A4,LRD13A5,
Livingroom,IoTset,T22,LRD8A4,"LRD3A4, LRD6A3, LRD8A4, LRD8A5",LRD9A4,,
Livingroom,IoTset,T24,LRD1A5,"LRD1A5, LRD6A4, LRD11A6",LRD9A5,LRD11A6,
Livingroom,IoTset,T25,LRD4A4,"LRD4A4, LRD6A5",LRD9A4,,
Livingroom,IoTset,T27,LRD2A5,"LRD2A5, LRD13A6",LRD9A5,LRD13A6,
Livingroom,IoTset,T28,LRD3A5,"LRD3A5, LRD7A1, LRD7A3",LRD9A5,,
Livingroom,IoTset,T30,LRD4A5,"LRD4A5, LRD5A4, LRD5A5, LRD5A6",LRD9A5,,
Livingroom,IoDev,FanOn,LRD1A3,"LRD1A3, LRD13A3",LRD9A3,LRD13A3,
Livingroom,IoDev,LightsOn,LRD3A3,"LRD3A3, LRD11A4",LRD9A3,LRD11A4,
Livingroom,IoDev,CurtainsOn,LRD2A3,"LRD2A3, LRD11A3",LRD9A3,LRD11A3,
Livingroom,IoDev,WetCloths,LRD4A3,LRD4A3,LRD9A3,,
